categoria,termino_base,variantes
masculino,competitivo,competitiva;competitivos;competitivas;competir;competencia
masculino,ambicioso,ambiciosa;ambiciosos;ambiciosas;ambición
masculino,dinámico,dinámica;dinámicos;dinámicas;dinamismo
masculino,decidido,decidida;decididos;decididas;determinación;determinado;determinada;determinados;determinadas;determinante;determinantes
masculino,líder,líderes;liderar;liderazgo
masculino,analítico,analítica;analíticos;analíticas;análisis
masculino,independiente,independientes;independencia
masculino,lógico,lógica;lógicos;lógicas;logicidad
masculino,objetivo,objetiva;objetivos;objetivas;objetividad
masculino,racional,racionales;racionalidad
masculino,seguro,segura;seguros;seguras;seguridad
masculino,dominante,dominantes;dominar;dominancia
masculino,asertivo,asertiva;asertivos;asertivas;asertividad
masculino,experto,experta;expertos;expertas;expertise;experticia
masculino,enérgico,enérgica;enérgicos;enérgicas;energía
masculino,confiado,confiada;confiados;confiadas;confianza
masculino,agresivo,agresiva;agresivos;agresivas;agresión
masculino,innovador,innovadora;innovadores;innovadoras;innovación
masculino,aventurero,aventurera;aventureros;aventureras;aventura
masculino,orientado,orientada;orientados;orientadas;orientar;orientación;resultado;resultados
masculino,fuerte,fuertes;fortaleza
masculino,visionario,visionaria;visionarios;visionarias
masculino,estratégico,estratégica;estratégicos;estratégicas;estrategia
masculino,disciplinado,disciplinada;disciplinados;disciplinadas;disciplina
masculino,perseverante,perseverantes;perseverancia
masculino,proactivo,proactiva;proactivos;proactivas;proactividad
masculino,enfocado,enfocada;enfocados;enfocadas;enfocar;enfoque
masculino,valiente,valientes;valentía
masculino,desafiante,desafiantes;desafiar;desafío
masculino,directo,directa;directos;directas;dirección
masculino,técnico,técnica;técnicos;técnicas;tecnología;tecnólogo
masculino,resiliente,resilientes;resiliencia
masculino,autónomo,autónoma;autónomos;autónomas;autonomía
masculino,competidor,competidora;competidores;competidoras;competir
femenino,colaborativo,colaborativa;colaborativos;colaborativas;colaborar;colaboración
femenino,empático,empática;empáticos;empáticas;empatía
femenino,comprensivo,comprensiva;comprensivos;comprensivas;comprensión
femenino,cuidadoso,cuidadosa;cuidadosos;cuidadosas;cuidado
femenino,sensible,sensibles;sensibilidad
femenino,solidario,solidaria;solidarios;solidarias;solidaridad
femenino,compasivo,compasiva;compasivos;compasivas;compasión
femenino,amable,amables;amabilidad
femenino,paciente,pacientes;paciencia
femenino,responsable,responsables;responsabilidad
femenino,cooperativo,cooperativa;cooperativos;cooperativas;cooperar;cooperación
femenino,atento,atenta;atentos;atentas;atención
femenino,comunicativo,comunicativa;comunicativos;comunicativas;comunicar;comunicación
femenino,inclusivo,inclusiva;inclusivos;inclusivas;inclusión
femenino,afectuoso,afectuosa;afectuosos;afectuosas;afecto
femenino,respetuoso,respetuosa;respetuosos;respetuosas;respeto
femenino,servicial,serviciales;servicio
femenino,comprometido,comprometida;comprometidos;comprometidas;compromiso
femenino,confiable,confiables;confiabilidad
femenino,organizado,organizada;organizados;organizadas;organización
femenino,detallista,detallistas;detalle;detalles
femenino,pacificador,pacificadora;pacificadores;pacificadoras;pacificar;paz
femenino,flexible,flexibles;flexibilidad
femenino,sensitivo,sensitiva;sensitivos;sensitivas;sensitividad
femenino,amigable,amigables;amistad
femenino,cohesivo,cohesiva;cohesivos;cohesivas;cohesión
femenino,asistencial,asistenciales;asistencia
femenino,protector,protectora;protectores;protectoras;proteger;protección
femenino,nurturante,nurturantes;nurturar;nurturación
femenino,armonioso,armoniosa;armoniosos;armoniosas;armonía
femenino,mentor,mentora;mentores;mentoras;mentoría;mentorear
femenino,inclusividad,incluyente;incluyentes
femenino,orientado a las personas,orientada a las personas;orientados a las personas;orientadas a las personas;personas
neutral,equipo,equipo;equipos
neutral,personal,personal
neutral,plantilla,plantillas
neutral,se requiere,se requiere;se requieren;se requerirá
neutral,se busca,se busca;se buscan;se buscará
neutral,el/la,el/la;las y los;los y las
neutral,elle,elle;elles;les
neutral,grafías inclusivas,@;x;*
